2024-04-16 at 14:42:15 | INFO | Experiment directory created at results_ct/000-vision_encoder
2024-04-16 at 14:42:30 | INFO | DiT Parameters: 15,938
2024-04-16 at 14:42:30 | INFO | Training for 100 epochs...
2024-04-16 at 14:42:30 | INFO | Beginning epoch 0...
2024-04-16 at 14:42:40 | INFO | (1.6%) (step=0000010) Train Loss: 0.19444869, Train Steps/Sec: 1.00
2024-04-16 at 14:42:44 | INFO | (3.2%) (step=0000020) Train Loss: 0.17075011, Train Steps/Sec: 2.39
2024-04-16 at 14:42:48 | INFO | (4.8%) (step=0000030) Train Loss: 0.17184821, Train Steps/Sec: 2.37
2024-04-16 at 14:42:52 | INFO | (6.5%) (step=0000040) Train Loss: 0.15954240, Train Steps/Sec: 2.36
2024-04-16 at 14:42:57 | INFO | (8.1%) (step=0000050) Train Loss: 0.13760266, Train Steps/Sec: 2.33
2024-04-16 at 14:43:01 | INFO | (9.7%) (step=0000060) Train Loss: 0.14493467, Train Steps/Sec: 2.40
2024-04-16 at 14:43:05 | INFO | (11.3%) (step=0000070) Train Loss: 0.12087209, Train Steps/Sec: 2.37
2024-04-16 at 14:43:09 | INFO | (12.9%) (step=0000080) Train Loss: 0.11630514, Train Steps/Sec: 2.36
2024-04-16 at 14:43:13 | INFO | (14.5%) (step=0000090) Train Loss: 0.09890310, Train Steps/Sec: 2.36
2024-04-16 at 14:43:18 | INFO | (16.2%) (step=0000100) Train Loss: 0.10179728, Train Steps/Sec: 2.34
2024-04-16 at 14:43:22 | INFO | (17.8%) (step=0000110) Train Loss: 0.09220170, Train Steps/Sec: 2.35
2024-04-16 at 14:43:26 | INFO | (19.4%) (step=0000120) Train Loss: 0.09113604, Train Steps/Sec: 2.36
2024-04-16 at 14:43:30 | INFO | (21.0%) (step=0000130) Train Loss: 0.08127472, Train Steps/Sec: 2.35
2024-04-16 at 14:43:35 | INFO | (22.6%) (step=0000140) Train Loss: 0.07275923, Train Steps/Sec: 2.33
2024-04-16 at 14:43:39 | INFO | (24.2%) (step=0000150) Train Loss: 0.06836118, Train Steps/Sec: 2.35
